Number,Daily Time Spent on Site,Daily Internet Usage,Ad Topic Line,Clicked on Ad
530,,165.27,Re-engineered impactful software,0
531,43.65,,Business-focused background synergy,1
532,59.61,198.45,Future-proofed coherent budgetary management,0
533,46.61,,Ergonomic methodical encoding,1
534,,162.03,Compatible dedicated productivity,0
535,65.1,118.1,Up-sized real-time methodology,1
536,53.44,,Up-sized next generation architecture,1
537,79.53,244.91,Managed 6thgeneration hierarchy,0
538,91.43,209.91,Organic motivating model,0
539,73.57,212.38,Pre-emptive transitional protocol,0
540,78.76,208.02,Managed attitude-oriented Internet solution,0
541,76.49,181.11,Public-key asynchronous matrix,0
542,61.72,218.49,Grass-roots systematic hardware,0
543,84.53,236.29,User-centric composite contingency,0
544,72.03,,Up-sized bi-directional infrastructure,0
545,77.47,222.91,Assimilated actuating policy,0
546,75.65,247.9,Organized upward-trending contingency,0
547,78.15,194.37,Ergonomic neutral portal,0
548,63.8,108.7,Adaptive demand-driven knowledgebase,1
549,76.59,211.64,Reverse-engineered maximized focus group,0
550,42.6,168.29,Switchable analyzing encryption,1
551,78.77,211.83,Public-key intangible Graphical User Interface,0
552,83.4,235.01,Advanced local task-force,0
553,79.53,236.72,Profound well-modulated array,0
554,73.89,,Multi-channeled asymmetric installation,0
555,75.8,224.9,Multi-layered fresh-thinking neural-net,0
556,81.95,208.76,Distributed cohesive migration,0
557,56.39,154.23,Programmable uniform website,1
559,38.35,145.48,Horizontal global leverage,1
560,72.53,223.93,Synchronized grid-enabled moratorium,0
561,56.2,114.85,Adaptive uniform capability,1
562,79.67,226.79,Total grid-enabled application,0
563,,164.25,Optional regional throughput,0
564,78.64,235.28,Integrated client-server definition,0
565,,109.22,Fundamental methodical support,1
566,38.35,144.69,Synergistic reciprocal attitude,1
567,59.52,251.08,Managed 5thgeneration time-frame,0
568,62.26,166.19,Vision-oriented uniform knowledgebase,0
569,64.75,117.66,Multi-tiered stable leverage,1
570,79.97,185.45,Down-sized explicit budgetary management,0
571,47.9,114.53,Cross-group human-resource time-frame,1
572,80.38,238.06,Business-focused holistic benchmark,0
573,64.51,190.71,Virtual 5thgeneration neural-net,0
574,,246.72,Distributed scalable orchestration,0
575,50.32,125.65,Realigned intangible benchmark,1
578,74.59,158.35,Phased clear-thinking encoding,1
579,46.66,,Grass-roots mission-critical emulation,1
580,48.86,134.46,Proactive encompassing paradigm,1
581,37.05,142.81,Automated object-oriented firmware,1
582,81.21,233.04,User-friendly content-based customer loyalty,0
583,66.89,208.24,Universal incremental array,0
584,68.11,231.21,Reactive national success,0
585,69.15,112.72,Automated multi-state toolset,1
586,65.72,120.12,Managed didactic flexibility,1
587,40.04,161.58,Cross-platform neutral system engine,1
588,68.6,135.08,Focused high-level frame,1
589,56.16,164.25,Seamless motivating approach,1
591,78.29,252.07,Networked regional Local Area Network,0
592,43.83,129.01,Total human-resource flexibility,1
593,77.31,238.1,Assimilated homogeneous service-desk,0
594,39.86,161.24,Ergonomic zero tolerance encoding,1
595,,141.13,Cross-platform zero-defect structure,1
596,57.2,110.66,Innovative maximized groupware,1
597,73.15,211.12,Face-to-face executive encryption,0
598,82.07,193.97,Monitored local Internet solution,0
599,49.84,135.24,Phased hybrid superstructure,1
