Number,Daily Time Spent on Site,Daily Internet Usage,Ad Topic Line,Clicked on Ad
5,68.95,256.09,Cloned 5thgeneration orchestration,0
6,80.23,193.77,Monitored national standardization,0
8,74.15,245.89,Triple-buffered reciprocal time-frame,0
9,,225.58,Robust logistical utilization,0
10,59.99,226.74,Sharable client-driven software,0
11,88.91,208.36,Enhanced dedicated support,0
12,,131.76,Reactive local challenge,1
13,74.53,,Configurable coherent function,0
14,69.88,183.82,Mandatory homogeneous architecture,0
15,47.64,122.02,Centralized neutral neural-net,1
16,83.07,230.87,Team-oriented grid-enabled Local Area Network,0
17,69.57,113.12,Centralized content-based focus group,1
18,79.52,214.23,Synergistic fresh-thinking array,0
19,,143.56,Grass-roots coherent extranet,1
20,63.45,140.64,Persistent demand-driven interface,1
21,55.39,,Customizable multi-tasking website,1
22,82.03,187.53,Intuitive dynamic attitude,0
24,74.58,135.51,Advanced 24/7 productivity,1
25,77.22,224.44,Object-based reciprocal knowledgebase,0
26,84.59,226.54,Streamlined non-volatile analyzer,0
27,,164.83,Mandatory disintermediate utilization,1
28,87.29,209.93,Future-proofed methodical protocol,0
29,41.39,,Exclusive neutral parallelism,1
30,78.74,204.79,Public-key foreground groupware,0
31,48.53,134.14,Ameliorated client-driven forecast,1
32,51.95,129.23,Monitored systematic hierarchy,1
33,70.2,119.2,Open-architected impactful productivity,1
34,,209.82,Business-focused value-added definition,0
36,86.41,207.48,Digitized static capability,0
37,59.05,169.23,Digitized global capability,1
38,55.6,212.58,Multi-layered 4thgeneration knowledge user,1
39,57.64,133.81,Synchronized dedicated service-desk,1
40,84.37,201.58,Synchronized systemic hierarchy,0
41,62.26,125.45,Profound stable product,1
42,65.82,221.94,Reactive demand-driven capacity,0
43,50.43,119.32,Persevering needs-based open architecture,1
44,38.93,162.08,Intuitive exuding service-desk,1
45,84.98,202.61,Innovative user-facing extranet,0
46,64.24,,Front-line intermediate database,0
47,82.52,198.11,Persevering exuding system engine,0
48,81.38,212.3,Balanced dynamic application,0
49,80.47,204.86,Reduced global support,0
50,37.68,172.83,Organic leadingedge secured line,1
